trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.9607894391523232, 'e': 0.6703200460356393}",20,0,-41.15280200638364,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
41,False,"{'a': 0.9598291299477989, 'e': 0.6636502501363194}",20,14,3.7540354331434713,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.9588697805724845, 'e': 0.6570468198150569}",35,0,-150.48054013286017,"{0: 21, 1: 8, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.9579113900670306, 'e': 0.6505090947233165}",30,0,-175.78235003859638,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
44,False,"{'a': 0.9569539574730467, 'e': 0.6440364210831414}",20,2,-51.67814462808457,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
45,False,"{'a': 0.9559974818331, 'e': 0.6376281516217733}",30,15,24.07309917558457,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.9550419621907147, 'e': 0.631283645506926}",20,0,-42.788273888112755,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.9540873975903711, 'e': 0.6250022682827008}",30,2,-29.42357935863857,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 0}",1
48,False,"{'a': 0.9531337870775047, 'e': 0.6187833918061408}",20,0,-4.143253013159013,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.9521811296985049, 'e': 0.6126263941844161}",25,15,-3.8984986402755952,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.951229424500714, 'e': 0.6065306597126334}",25,0,-85.79879811672953,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
51,False,"{'a': 0.950278670532427, 'e': 0.600495578812266}",25,0,-108.15684620765381,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
52,False,"{'a': 0.9493288668428895, 'e': 0.5945205479701944}",25,0,-70.04603796266593,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.9483800124822982, 'e': 0.5886049696783552}",25,0,-61.96373428410019,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.9474321065017983, 'e': 0.5827482523739896}",20,0,-135.86380796985583,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
55,False,"{'a': 0.9464851479534838, 'e': 0.5769498103804866}",30,0,-82.6047297901311,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.9455391358903963, 'e': 0.5712090638488149}",20,0,-103.89903829818152,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
57,False,"{'a': 0.9445940693665233, 'e': 0.5655254386995371}",20,9,3.954434020539196,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.9436499474367985, 'e': 0.559898366565402}",20,3,-55.39589901147137,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.9427067691570997, 'e': 0.5543272847345071}",25,12,-1.1427118094858522,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
60,False,"{'a': 0.9417645335842487, 'e': 0.5488116360940265}",30,12,-4.768246990392758,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.9408232397760097, 'e': 0.5433508690744998}",20,6,1.5136419654571625,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.9398828867910889, 'e': 0.5379444375946745}",20,6,-49.85108008759314,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
63,False,"{'a': 0.9389434736891332, 'e': 0.5325918010068972}",25,12,14.998604092532918,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.9380049995307295, 'e': 0.5272924240430485}",35,20,-12.899433627706804,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
65,False,"{'a': 0.9370674633774034, 'e': 0.522045776761016}",20,6,-8.641531001721646,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.9361308642916188, 'e': 0.5168513344916993}",25,0,-43.453562824648145,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
67,False,"{'a': 0.9351952013367766, 'e': 0.5117085777865424}",30,0,-26.77488886027703,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
68,False,"{'a': 0.9342604735772135, 'e': 0.5066169923655897}",20,8,-35.34017834081084,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.933326680078202, 'e': 0.5015760690660556}",20,13,-0.24945992521963212,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.9323938199059483, 'e': 0.4965853037914095}",30,0,-12.039670527217456,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
71,False,"{'a': 0.9314618921275921, 'e': 0.49164419746096516}",25,0,-14.059855762202476,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
72,False,"{'a': 0.9305308958112057, 'e': 0.4867522559599717}",20,12,-66.17179681829718,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
73,False,"{'a': 0.9296008300257927, 'e': 0.48190899009020244}",30,12,-2.7175860741273445,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.9286716938412872, 'e': 0.47711391552103444}",20,6,-34.89895215886355,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.9277434863285529, 'e': 0.47236655274101474}",25,0,-31.10423862938848,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
76,False,"{'a': 0.9268162065593822, 'e': 0.46766642700990924}",25,8,8.802856210077088,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.9258898536064953, 'e': 0.46301306831122807}",30,6,-139.87589262709662,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 3}",1
78,False,"{'a': 0.9249644265435393, 'e': 0.45840601130522357}",20,7,-32.779245299413944,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.9240399244450868, 'e': 0.45384479528235583}",25,2,-25.274795860072015,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 0}",1
80,False,"{'a': 0.9231163463866358, 'e': 0.44932896411722156}",25,7,-8.529761166579345,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
81,False,"{'a': 0.922193691444608, 'e': 0.4448580662229411}",20,0,-36.072444666958525,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
82,False,"{'a': 0.9212719586963487, 'e': 0.44043165450599925}",20,7,-20.17878646331014,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
83,False,"{'a': 0.9203511472201247, 'e': 0.43604928632153556}",30,0,-31.021272441603543,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.9194312560951247, 'e': 0.43171052342907973}",25,4,-26.65909885758503,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 0}",1
85,False,"{'a': 0.9185122844014574, 'e': 0.4274149319487267}",25,0,-99.2237701879117,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
86,False,"{'a': 0.9175942312201509, 'e': 0.4231620823177488}",25,3,-81.24549853161466,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 2}",1
87,False,"{'a': 0.9166770956331523, 'e': 0.418951549247639}",20,10,-30.318426013159623,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.9157608767233256, 'e': 0.4147829116815814}",20,5,-18.115041416027083,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
89,False,"{'a': 0.9148455735744521, 'e': 0.4106557527523455}",30,0,8.056951318209121,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.9139311852712282, 'e': 0.4065696597405991}",20,7,-14.635152427828125,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
91,False,"{'a': 0.9130177108992658, 'e': 0.40252422403363597}",20,0,-35.4379344258827,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
92,False,"{'a': 0.9121051495450904, 'e': 0.3985190410845142}",30,6,-45.71499713098265,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 1}",1
93,False,"{'a': 0.9111935002961405, 'e': 0.39455371037160114}",25,11,0.7310125724273062,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.910282762240767, 'e': 0.3906278353585211}",35,8,-60.06066716289967,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 1}",1
95,False,"{'a': 0.9093729344682314, 'e': 0.3867410234545012}",20,0,-81.3472114223794,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
96,False,"{'a': 0.9084640160687062, 'e': 0.38289288597511206}",30,18,9.905665581393574,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.9075560061332727, 'e': 0.37908303810339883}",30,13,4.321064545595995,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
98,False,"{'a': 0.9066489037539209, 'e': 0.37531109885139957}",20,0,-46.0571736039398,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
99,False,"{'a': 0.9057427080235485, 'e': 0.3715766910220457}",25,0,-4.726527605377283,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.9048374180359595, 'e': 0.36787944117144233}",25,0,2.9498003978397787,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
101,False,"{'a': 0.9039330328858641, 'e': 0.3642189795715233}",25,5,-47.41655973742267,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
102,False,"{'a': 0.9030295516688768, 'e': 0.3605949401730783}",20,12,-52.96325032879774,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
103,False,"{'a': 0.9021269734815165, 'e': 0.3570069605691474}",20,3,17.178548993377134,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.9012252974212048, 'e': 0.35345468195878016}",30,0,15.361529512001237,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.9003245225862656, 'e': 0.3499377491111554}",25,3,-10.937105123866846,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.899424648075924, 'e': 0.34645581033005746}",35,0,-93.04249955191491,"{0: 27, 1: 2, 2: 4, 3: 0, 4: 2}",1
107,False,"{'a': 0.8985256729903055, 'e': 0.3430085174187067}",20,0,-2.446923302387651,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
108,False,"{'a': 0.8976275964304349, 'e': 0.33959552564493917}",25,0,-56.100064093449426,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
109,False,"{'a': 0.8967304174982355, 'e': 0.33621649370673334}",35,8,15.932384601623667,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 0}",1
110,False,"{'a': 0.8958341352965282, 'e': 0.33287108369807955}",20,0,-58.00154430948134,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.894938748929031, 'e': 0.32955896107518906}",30,0,24.0181684252046,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
112,False,"{'a': 0.8940442575003572, 'e': 0.32627979462303947}",25,15,-4.218719828733473,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.8931506601160155, 'e': 0.3230332564222529}",20,0,-34.78621324300405,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
114,False,"{'a': 0.8922579558824083, 'e': 0.3198190218163039}",20,4,23.504994919358914,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.8913661439068313, 'e': 0.3166367693790532}",30,3,-53.22511554012198,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 2}",1
116,False,"{'a': 0.8904752232974726, 'e': 0.3134861808826053}",20,8,3.376692638428024,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.8895851931634113, 'e': 0.31036694126548503}",20,14,8.769292905602846,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.8886960526146174, 'e': 0.30727873860113125}",20,0,-52.97283207039616,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
119,False,"{'a': 0.8878078007619501, 'e': 0.3042212640667041}",25,8,-3.568780206273682,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.8869204367171575, 'e': 0.30119421191220214}",25,17,3.09353304619234,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.8860339595928756, 'e': 0.2981972794298874}",30,0,-59.72621530250089,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
122,False,"{'a': 0.8851483685026271, 'e': 0.2952301669240142}",20,0,-53.60311759891455,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
123,False,"{'a': 0.8842636625608209, 'e': 0.2922925776808594}",25,10,0.6656982163416814,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.8833798408827509, 'e': 0.28938421793905067}",30,4,19.608554367407347,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.8824969025845955, 'e': 0.2865047968601901}",25,3,-35.20941602918148,"{0: 18, 1: 1, 2: 0, 3: 3, 4: 0}",1
126,False,"{'a': 0.8816148467834161, 'e': 0.2836540264997704}",20,6,15.086312918470318,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
