trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.9607894391523232, 'e': 0.6703200460356393}",20,0,-29.170143897922063,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
41,False,"{'a': 0.9598291299477989, 'e': 0.6636502501363194}",25,9,-161.60651715736466,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 4}",1
42,False,"{'a': 0.9588697805724845, 'e': 0.6570468198150569}",30,0,-47.674214279030856,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.9579113900670306, 'e': 0.6505090947233165}",30,12,-45.17227789076745,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
44,False,"{'a': 0.9569539574730467, 'e': 0.6440364210831414}",20,13,1.9626150327008633,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.9559974818331, 'e': 0.6376281516217733}",25,2,-187.18289187939217,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 3}",1
46,False,"{'a': 0.9550419621907147, 'e': 0.631283645506926}",25,0,-56.68191068142637,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
47,False,"{'a': 0.9540873975903711, 'e': 0.6250022682827008}",25,0,-186.94769084051703,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
48,False,"{'a': 0.9531337870775047, 'e': 0.6187833918061408}",25,0,-120.95262979135563,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 3}",0
49,False,"{'a': 0.9521811296985049, 'e': 0.6126263941844161}",20,2,-25.38007383608961,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
50,False,"{'a': 0.951229424500714, 'e': 0.6065306597126334}",20,4,-73.04853609911704,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 1}",1
51,False,"{'a': 0.950278670532427, 'e': 0.600495578812266}",20,10,-40.41974357080689,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 0}",1
52,False,"{'a': 0.9493288668428895, 'e': 0.5945205479701944}",20,11,-35.513863772243475,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.9483800124822982, 'e': 0.5886049696783552}",35,0,-47.7370244609857,"{0: 28, 1: 1, 2: 4, 3: 2, 4: 0}",0
54,False,"{'a': 0.9474321065017983, 'e': 0.5827482523739896}",20,11,-17.83802791592933,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.9464851479534838, 'e': 0.5769498103804866}",20,13,-41.56255366417734,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.9455391358903963, 'e': 0.5712090638488149}",20,0,-21.72093999351197,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
57,False,"{'a': 0.9445940693665233, 'e': 0.5655254386995371}",25,0,-81.11626096943053,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
58,False,"{'a': 0.9436499474367985, 'e': 0.559898366565402}",35,9,-132.96512744640813,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 2}",1
59,False,"{'a': 0.9427067691570997, 'e': 0.5543272847345071}",30,0,-73.60091450442748,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
60,False,"{'a': 0.9417645335842487, 'e': 0.5488116360940265}",25,0,9.139027139298216,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.9408232397760097, 'e': 0.5433508690744998}",20,0,-6.335682552166562,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.9398828867910889, 'e': 0.5379444375946745}",25,0,-65.94087071438301,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.9389434736891332, 'e': 0.5325918010068972}",20,0,-49.069154881379696,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
