Date,Open,High,Low,Close,Volume,Prev Day OI,Prev Day Volume
2011-06-13,1.2457,1.249,1.24,1.2461,,369.0,213.0
2011-06-10,1.244,1.2505,1.2435,1.2449,,945.0,1497.0
2011-06-09,1.2519,1.2525,1.2433,1.2452,,2009.0,318.0
2011-06-08,1.2469,1.2549,1.2457,1.2512,,2021.0,336.0
2011-06-07,1.2477,1.2514,1.245,1.2483,,2046.0,158.0
2011-06-06,1.246,1.2508,1.2438,1.2491,,2034.0,439.0
2011-06-03,1.2344,1.2492,1.2344,1.246,,1998.0,292.0
2011-06-02,1.2357,1.2409,1.2299,1.2368,,2008.0,541.0
2011-06-01,1.2283,1.2404,1.2271,1.2363,,2199.0,708.0
2011-05-31,1.237,1.2389,1.223,1.2273,,2286.0,375.0
2011-05-27,1.2283,1.2391,1.2283,1.2375,,2252.0,541.0
2011-05-26,1.219,1.2324,1.2186,1.2298,,2150.0,310.0
2011-05-25,1.2187,1.2226,1.2169,1.2195,,2186.0,415.0
2011-05-24,1.2202,1.2253,1.2165,1.221,,2244.0,302.0
2011-05-23,1.224,1.2296,1.219,1.2206,,2248.0,154.0
2011-05-20,1.2243,1.2271,1.2218,1.2257,,2240.0,315.0
2011-05-19,1.2235,1.2278,1.2162,1.2257,,2265.0,563.0
2011-05-18,1.2295,1.2355,1.2239,1.2258,,2381.0,403.0
2011-05-17,1.2377,1.2386,1.2232,1.2277,,2403.0,404.0
2011-05-16,1.2375,1.2402,1.2338,1.2384,,2491.0,562.0
2011-05-13,1.235,1.2448,1.2334,1.2371,,2396.0,463.0
2011-05-12,1.2339,1.2394,1.2297,1.236,,2465.0,978.0
2011-05-11,1.2365,1.2406,1.2298,1.2359,,2422.0,466.0
2011-05-10,1.246,1.2477,1.2356,1.238,,2485.0,483.0
2011-05-09,1.2406,1.2475,1.2373,1.245,,2493.0,924.0
2011-05-06,1.245,1.2468,1.2357,1.2429,,2523.0,1222.0
2011-05-05,1.2399,1.2568,1.2397,1.2468,,2591.0,723.0
2011-05-04,1.2344,1.2458,1.2319,1.241,,2484.0,398.0
2011-05-03,1.2309,1.2395,1.2307,1.2361,,2453.0,756.0
2011-05-02,1.2325,1.2347,1.2245,1.231,,2327.0,787.0
2011-04-29,1.2257,1.2342,1.2251,1.233,,2031.0,887.0
2011-04-28,1.217,1.2287,1.2159,1.2272,,1769.0,933.0
2011-04-27,1.2261,1.2305,1.208,1.2165,,1512.0,666.0
2011-04-26,1.222,1.2274,1.2203,1.2256,,1192.0,500.0
2011-04-25,1.2207,1.2246,1.2136,1.2231,,931.0,691.0
2011-04-21,1.2128,1.2254,1.2114,1.2232,,877.0,1041.0
2011-04-20,1.211,1.2159,1.2037,1.2139,,964.0,636.0
2011-04-19,1.2121,1.2147,1.2087,1.2139,,973.0,1073.0
2011-04-18,1.2035,1.2169,1.2014,1.2104,,954.0,445.0
2011-04-15,1.1978,1.2056,1.194,1.2033,,957.0,941.0
2011-04-14,1.1941,1.2058,1.1925,1.199,,978.0,907.0
2011-04-13,1.195,1.1978,1.1873,1.1932,,1230.0,1552.0
2011-04-12,1.1818,1.1983,1.18,1.1948,,1421.0,757.0
2011-04-11,1.1776,1.1836,1.1747,1.1816,,1588.0,815.0
2011-04-08,1.1764,1.1813,1.1715,1.1793,,1573.0,1380.0
2011-04-07,1.1713,1.1825,1.17,1.1779,,1481.0,1162.0
2011-04-06,1.1765,1.179,1.1698,1.1713,,1634.0,599.0
2011-04-05,1.1878,1.1884,1.1784,1.1793,,1657.0,417.0
2011-04-04,1.1891,1.1929,1.1858,1.1898,,1528.0,1098.0
2011-04-01,1.2018,1.2019,1.1808,1.1897,,1510.0,627.0
2011-03-31,1.2045,1.2115,1.2019,1.204,,1520.0,630.0
2011-03-30,1.213,1.2141,1.2026,1.2072,,1561.0,555.0
2011-03-29,1.2239,1.2269,1.2129,1.2135,,1572.0,275.0
2011-03-28,1.229,1.229,1.2225,1.2251,,1483.0,447.0
2011-03-25,1.235,1.2372,1.2278,1.2289,,1447.0,578.0
2011-03-24,1.2362,1.2388,1.2344,1.236,,1216.0,753.0
2011-03-23,1.2349,1.2396,1.2343,1.2376,,978.0,406.0
2011-03-22,1.233,1.2375,1.2312,1.2363,,985.0,373.0
2011-03-21,1.2382,1.239,1.2307,1.2342,,1007.0,1906.0
2011-03-18,1.2626,1.265,1.2202,1.2356,,1089.0,2240.0
2011-03-17,1.2687,1.2941,1.2549,1.2655,,883.0,1294.0
2011-03-16,1.238,1.2579,1.2329,1.2488,,818.0,1273.0
2011-03-15,1.2242,1.2413,1.2198,1.2378,,629.0,1045.0
2011-03-14,1.225,1.2437,1.2139,1.2258,,481.0,587.0
2011-03-11,1.2069,1.2257,1.2013,1.2222,,339.0,309.0
2011-03-10,1.2077,1.2096,1.2031,1.2055,,253.0,70.0
2011-03-09,1.2075,1.2116,1.2063,1.2102,,241.0,47.0
2011-03-08,1.2155,1.2167,1.2079,1.2104,,216.0,153.0
2011-03-07,1.215,1.2204,1.2143,1.2159,,83.0,39.0
2011-03-04,1.2138,1.217,1.2097,1.2153,,59.0,14.0
2011-03-03,1.216,1.2224,1.2114,1.2149,,47.0,8.0
2011-03-02,1.2237,1.2259,1.2209,1.2222,,47.0,12.0
2011-03-01,1.221,1.2225,1.218,1.2217,,38.0,3.0
2011-02-28,1.2241,1.2243,1.2235,1.2243,,37.0,1.0
2011-02-25,1.223,1.225,1.2224,1.225,,37.0,10.0
2011-02-24,1.22,1.226,1.22,1.2242,,37.0,3.0
2011-02-23,1.213,1.2131,1.2098,1.2131,,37.0,0.0
2011-02-22,1.2102,1.2102,1.2102,1.2102,,37.0,4.0
2011-02-18,1.2,1.2042,1.1983,1.2042,,34.0,2.0
2011-02-17,1.198,1.201,1.198,1.201,,32.0,2.0
2011-02-16,1.192,1.1979,1.192,1.1979,,31.0,4.0
