Date,Open,High,Low,Close,Volume,Prev Day OI,Prev Day Volume
2001-12-17,0.7838,0.7838,0.7838,0.7838,,13.0,7.0
2001-12-14,0.7844,0.7877,0.784,0.787,,16.0,1.0
2001-12-13,0.7918,0.7918,0.7918,0.7918,,25.0,6.0
2001-12-12,0.7935,0.7937,0.79,0.7937,,31.0,10.0
2001-12-11,0.794,0.794,0.7927,0.7927,,34.0,5.0
2001-12-10,0.7935,0.7939,0.793,0.7939,,36.0,21.0
2001-12-07,0.7981,0.7999,0.795,0.7977,,47.0,3.0
2001-12-06,0.8014,0.8075,0.801,0.802,,45.0,5.0
2001-12-05,0.8055,0.8055,0.8044,0.8054,,48.0,4.0
2001-12-04,0.807,0.807,0.806,0.806,,48.0,3.0
2001-12-03,0.809,0.8095,0.8068,0.8068,,69.0,14.0
2001-11-30,0.8075,0.8143,0.8075,0.8103,,76.0,5.0
2001-11-29,0.8135,0.8145,0.8082,0.809,,76.0,8.0
2001-11-28,0.8085,0.815,0.8075,0.8135,,75.0,3.0
2001-11-27,0.806,0.8074,0.806,0.8074,,72.0,4.0
2001-11-26,0.8074,0.8074,0.8067,0.8067,,91.0,11.0
2001-11-23,0.808,0.808,0.8045,0.8051,,88.0,3.0
2001-11-21,0.8135,0.8135,0.8115,0.813,,89.0,12.0
2001-11-20,0.814,0.817,0.814,0.8162,,80.0,19.0
2001-11-19,0.8079,0.813,0.8079,0.8125,,76.0,9.0
2001-11-16,0.8152,0.816,0.8148,0.8151,,71.0,5.0
2001-11-15,0.8199,0.8199,0.8182,0.8182,,69.0,3.0
2001-11-14,0.8218,0.8243,0.8215,0.8243,,67.0,10.0
2001-11-13,0.8271,0.8271,0.8235,0.8243,,68.0,1.0
2001-11-12,0.832,0.8338,0.832,0.8338,,69.0,13.0
2001-11-09,0.8338,0.834,0.8317,0.8338,,72.0,16.0
2001-11-08,0.8291,0.8368,0.8283,0.8346,,72.0,10.0
2001-11-07,0.8222,0.829,0.8222,0.8289,,74.0,11.0
2001-11-06,0.8279,0.8305,0.827,0.828,,74.0,3.0
2001-11-05,0.8215,0.8235,0.8215,0.8231,,74.0,10.0
2001-11-02,0.8235,0.8275,0.8229,0.8232,,75.0,17.0
2001-11-01,0.821,0.8255,0.821,0.8221,,76.0,12.0
2001-10-31,0.8193,0.8235,0.8193,0.8198,,77.0,4.0
2001-10-30,0.8277,0.8277,0.819,0.8219,0.0,0.0,0.0
2001-10-29,0.8228,0.8248,0.8213,0.8218,,80.0,4.0
2001-10-26,0.815,0.8172,0.815,0.817,,78.0,5.0
2001-10-25,0.8144,0.8172,0.8139,0.816,,74.0,2.0
2001-10-24,0.8178,0.8178,0.8166,0.8166,,74.0,7.0
2001-10-23,0.8152,0.8178,0.8152,0.8178,,75.0,9.0
2001-10-22,0.82,0.822,0.815,0.8194,,72.0,3.0
2001-10-19,0.8295,0.8302,0.828,0.8285,,72.0,7.0
2001-10-18,0.8295,0.8302,0.8275,0.8285,,72.0,4.0
2001-10-17,0.8277,0.83,0.8271,0.8281,,69.0,10.0
2001-10-16,0.8282,0.8367,0.8221,0.8277,,66.0,3.0
2001-10-15,0.8329,0.8339,0.8302,0.8302,,66.0,12.0
2001-10-12,0.827,0.83,0.8242,0.8274,,64.0,12.0
2001-10-11,0.8345,0.8345,0.825,0.8271,0.0,0.0,0.0
2001-10-10,0.8345,0.8364,0.8345,0.8345,,59.0,2.0
2001-10-09,0.8389,0.8389,0.8321,0.8353,,59.0,0.0
2001-10-08,0.8348,0.838,0.8348,0.8348,,59.0,2.0
2001-10-05,0.836,0.836,0.8345,0.8348,,59.0,2.0
2001-10-04,0.8344,0.8344,0.8326,0.8326,,59.0,11.0
2001-10-03,0.8255,0.8332,0.8252,0.8321,,56.0,13.0
2001-10-02,0.833,0.8335,0.8289,0.8319,0.0,0.0,0.0
2001-10-01,0.8399,0.8399,0.836,0.8362,,50.0,46.0
2001-09-28,0.842,0.8467,0.8402,0.8415,,35.0,28.0
2001-09-27,0.852,0.852,0.8339,0.8403,,37.0,3.0
2001-09-26,0.8537,0.8545,0.8526,0.8534,,36.0,14.0
2001-09-25,0.858,0.858,0.8527,0.8552,,33.0,6.0
2001-09-24,0.8595,0.8596,0.8556,0.8556,,34.0,9.0
2001-09-21,0.8635,0.8646,0.8605,0.8616,,32.0,2.0
2001-09-20,0.8611,0.8671,0.8611,0.8671,,32.0,24.0
2001-09-19,0.8552,0.859,0.8552,0.8564,,24.0,7.0
2001-09-18,0.8628,0.8628,0.8542,0.8592,,23.0,16.0
2001-09-17,0.854,0.8665,0.854,0.8574,,14.0,10.0
2001-09-14,0.852,0.8609,0.852,0.8609,,9.0,8.0
2001-09-13,0.847,0.8517,0.844,0.8495,,8.0,0.0
2001-09-11,0.8385,0.8385,0.8385,0.8385,,8.0,4.0
2001-09-10,0.838,0.838,0.8328,0.8343,0.0,0.0,0.0
2001-09-07,0.837,0.8401,0.8362,0.8399,,3.0,2.0
2001-09-06,0.823,0.837,0.823,0.834,,2.0,0.0
2001-09-05,0.8363,0.8363,0.8363,0.8363,,2.0,0.0
2001-09-04,0.8453,0.8453,0.8453,0.8453,,2.0,0.0
2001-08-31,0.8502,0.8502,0.8502,0.8502,,2.0,1.0
2001-08-30,0.8463,0.8463,0.8463,0.8463,,2.0,0.0
2001-08-29,0.8409,0.8409,0.8409,0.8409,,2.0,0.0
2001-08-28,0.8412,0.8412,0.8412,0.8412,,2.0,0.0
2001-08-27,0.8428,0.8428,0.8428,0.8428,,2.0,0.0
2001-08-24,0.8413,0.8413,0.8413,0.8413,,2.0,0.0
2001-08-23,0.8441,0.8441,0.8441,0.8441,,2.0,3.0
2001-08-22,0.8443,0.8443,0.8394,0.8394,0.0,0.0,0.0
2001-08-21,0.8443,0.8443,0.8443,0.8443,0.0,0.0,0.0
2001-08-20,0.8376,0.8376,0.8376,0.8376,0.0,0.0,0.0
2001-08-17,0.8411,0.8411,0.8411,0.8411,0.0,0.0,0.0
2001-08-16,0.8439,0.8439,0.8439,0.8439,0.0,0.0,0.0
2001-08-15,0.8459,0.8459,0.8459,0.8459,0.0,0.0,0.0
2001-08-14,0.8318,0.8318,0.8318,0.8318,0.0,0.0,0.0
