Date,Open,High,Low,Close,Volume,Prev Day OI,Prev Day Volume
2006-06-19,0.8655,0.8662,0.862,0.8645,,157.0,22.0
2006-06-16,0.8696,0.8724,0.8635,0.8688,,167.0,15.0
2006-06-15,0.8701,0.8719,0.8687,0.8699,,171.0,36.0
2006-06-14,0.87,0.8735,0.8662,0.8693,,209.0,28.0
2006-06-13,0.8749,0.8752,0.8672,0.8681,,219.0,14.0
2006-06-12,0.8758,0.8778,0.8739,0.8763,,224.0,14.0
2006-06-09,0.878,0.881,0.876,0.8786,,225.0,38.0
2006-06-08,0.8812,0.8813,0.8733,0.8766,,238.0,14.0
2006-06-07,0.886,0.8866,0.8816,0.8827,,235.0,56.0
2006-06-06,0.8926,0.8935,0.8814,0.8858,,236.0,71.0
2006-06-05,0.8975,0.8988,0.8932,0.8943,,278.0,24.0
2006-06-02,0.8888,0.9,0.8878,0.8972,,283.0,17.0
2006-06-01,0.8892,0.8919,0.8834,0.8895,,289.0,8.0
2006-05-31,0.894,0.899,0.8898,0.8898,,292.0,21.0
2006-05-30,0.89,0.8978,0.8895,0.8943,,290.0,31.0
2006-05-26,0.8999,0.9002,0.887,0.8897,,291.0,13.0
2006-05-25,0.8897,0.8975,0.8891,0.8973,,296.0,126.0
2006-05-24,0.8947,0.8984,0.8865,0.8905,,292.0,37.0
2006-05-23,0.8988,0.9041,0.8965,0.902,,289.0,87.0
2006-05-22,0.8975,0.902,0.8893,0.901,,272.0,90.0
2006-05-19,0.906,0.9086,0.8934,0.8986,,312.0,68.0
2006-05-18,0.9029,0.9101,0.9017,0.9055,,332.0,92.0
2006-05-17,0.9183,0.9211,0.9026,0.9054,,313.0,33.0
2006-05-16,0.911,0.916,0.9067,0.9154,,310.0,44.0
2006-05-15,0.917,0.9185,0.909,0.9117,,298.0,46.0
2006-05-12,0.9127,0.9178,0.9091,0.9126,,300.0,46.0
2006-05-11,0.9085,0.9123,0.9017,0.91,,292.0,47.0
2006-05-10,0.9048,0.9131,0.904,0.9121,,306.0,35.0
2006-05-09,0.8999,0.9071,0.8984,0.9049,,312.0,40.0
2006-05-08,0.8975,0.9059,0.8965,0.9006,,318.0,38.0
2006-05-05,0.8826,0.8961,0.8826,0.8949,,319.0,26.0
2006-05-04,0.8822,0.8875,0.8814,0.8864,,319.0,28.0
2006-05-03,0.8896,0.8907,0.8836,0.8854,,323.0,36.0
2006-05-02,0.8847,0.8895,0.8827,0.8892,,309.0,62.0
2006-05-01,0.8848,0.8951,0.8841,0.8883,,295.0,30.0
2006-04-28,0.884,0.8858,0.8797,0.8852,,297.0,100.0
2006-04-27,0.878,0.8846,0.875,0.8828,,269.0,96.0
2006-04-26,0.8777,0.879,0.873,0.8786,,266.0,137.0
2006-04-25,0.8789,0.8815,0.8761,0.8778,,243.0,144.0
2006-04-24,0.8675,0.882,0.8675,0.8812,,231.0,52.0
2006-04-21,0.8574,0.8639,0.8563,0.8632,,219.0,16.0
2006-04-20,0.859,0.859,0.8552,0.8575,,218.0,31.0
2006-04-19,0.861,0.8636,0.8554,0.8598,,214.0,16.0
2006-04-18,0.8565,0.8605,0.8534,0.8598,,217.0,20.0
2006-04-17,0.852,0.8579,0.852,0.8561,,214.0,4.0
2006-04-13,0.85,0.8522,0.8494,0.8514,,214.0,14.0
2006-04-12,0.8551,0.8561,0.851,0.8512,,216.0,24.0
2006-04-11,0.8531,0.8534,0.8489,0.8526,,207.0,41.0
2006-04-10,0.8554,0.8557,0.8506,0.8516,,225.0,87.0
2006-04-07,0.8576,0.8593,0.8526,0.8535,,177.0,11.0
2006-04-06,0.8606,0.8608,0.8563,0.858,,173.0,43.0
2006-04-05,0.861,0.8654,0.8571,0.861,,160.0,21.0
2006-04-04,0.8579,0.8618,0.8567,0.8605,,155.0,33.0
2006-04-03,0.8558,0.8587,0.8508,0.8585,,152.0,44.0
2006-03-31,0.86,0.8615,0.8558,0.8585,,135.0,38.0
2006-03-30,0.8579,0.8634,0.8574,0.8614,,129.0,40.0
2006-03-29,0.8576,0.8607,0.8555,0.858,,126.0,64.0
2006-03-28,0.8696,0.8696,0.8568,0.8573,,113.0,32.0
2006-03-27,0.864,0.8683,0.8604,0.8666,,103.0,19.0
2006-03-24,0.8565,0.8615,0.8537,0.8607,,102.0,42.0
2006-03-23,0.866,0.8662,0.8574,0.8577,,109.0,34.0
2006-03-22,0.8637,0.8679,0.8626,0.8656,,112.0,42.0
2006-03-21,0.8679,0.8704,0.86,0.864,,104.0,64.0
2006-03-20,0.8719,0.876,0.8694,0.8707,,105.0,34.0
2006-03-17,0.8666,0.8747,0.866,0.8739,,106.0,58.0
2006-03-16,0.8597,0.867,0.8591,0.8666,,101.0,52.0
2006-03-15,0.8602,0.8644,0.8602,0.8634,,91.0,96.0
2006-03-14,0.8535,0.8637,0.8533,0.8625,,77.0,25.0
2006-03-13,0.8511,0.8531,0.8498,0.8516,,84.0,37.0
2006-03-10,0.8584,0.8584,0.85,0.8509,,83.0,61.0
2006-03-09,0.859,0.8655,0.8553,0.8569,,51.0,39.0
2006-03-08,0.8607,0.8639,0.8584,0.86,,41.0,15.0
