Date,Open,High,Low,Close,Volume,Prev Day OI,Prev Day Volume
2013-03-18,1.0559,1.06,1.0516,1.053,,1174.0,382.0
2013-03-15,1.0405,1.0527,1.0389,1.0477,,1467.0,531.0
2013-03-14,1.0412,1.0451,1.0353,1.041,,1561.0,1032.0
2013-03-13,1.0416,1.0478,1.0388,1.0414,,1598.0,1460.0
2013-03-12,1.0382,1.0457,1.0342,1.0426,,1905.0,672.0
2013-03-11,1.0412,1.0423,1.0377,1.0389,,1913.0,3233.0
2013-03-08,1.0535,1.0543,1.0354,1.0438,,1958.0,1884.0
2013-03-07,1.0641,1.0661,1.0516,1.0544,,1945.0,1121.0
2013-03-06,1.0715,1.0755,1.0626,1.0632,,1947.0,828.0
2013-03-05,1.07,1.0762,1.0693,1.0719,,1964.0,757.0
2013-03-04,1.0696,1.0734,1.067,1.0704,,1931.0,1525.0
2013-03-01,1.08,1.0817,1.0676,1.0685,,1917.0,1247.0
2013-02-28,1.0847,1.0869,1.077,1.079,,1865.0,1731.0
2013-02-27,1.0872,1.0973,1.0819,1.0834,,2011.0,2844.0
2013-02-26,1.0856,1.0975,1.0783,1.0876,,1900.0,3363.0
2013-02-25,1.0633,1.1008,1.0606,1.0798,,1834.0,969.0
2013-02-22,1.0749,1.0763,1.0693,1.0707,,1842.0,1422.0
2013-02-21,1.0674,1.0782,1.0655,1.0742,,1860.0,1054.0
2013-02-20,1.0691,1.074,1.0636,1.0659,,2191.0,1999.0
2013-02-19,1.0655,1.0722,1.0617,1.0704,,1935.0,1812.0
2013-02-15,1.0768,1.0845,1.0659,1.0706,,1951.0,1628.0
2013-02-14,1.0727,1.0792,1.0673,1.0753,,1863.0,1348.0
2013-02-13,1.0724,1.0775,1.0666,1.0701,,1863.0,4094.0
2013-02-12,1.0612,1.0768,1.0594,1.0695,,1978.0,1786.0
2013-02-11,1.0795,1.0817,1.059,1.0707,,1698.0,2257.0
2013-02-08,1.0684,1.0854,1.0672,1.0777,,1746.0,1925.0
2013-02-07,1.0695,1.0747,1.0651,1.0691,,1704.0,1524.0
2013-02-06,1.0673,1.0723,1.0635,1.0711,,1685.0,1522.0
2013-02-05,1.0855,1.0865,1.068,1.0712,,1555.0,1138.0
2013-02-04,1.0784,1.0847,1.0735,1.0827,,1536.0,1559.0
2013-02-01,1.0898,1.0917,1.076,1.0785,,1473.0,1295.0
2013-01-31,1.0987,1.1023,1.0897,1.0945,,1437.0,1221.0
2013-01-30,1.1023,1.1025,1.0944,1.0968,,1440.0,914.0
2013-01-29,1.1028,1.1073,1.0989,1.1027,,1463.0,1211.0
2013-01-28,1.098,1.1045,1.0963,1.1023,,1489.0,1626.0
2013-01-25,1.107,1.1078,1.0968,1.0993,,1465.0,2395.0
2013-01-24,1.1302,1.1312,1.1047,1.1119,,1262.0,1273.0
2013-01-23,1.1266,1.136,1.1266,1.1282,,1306.0,3100.0
2013-01-22,1.1096,1.1321,1.1086,1.1274,,1186.0,1411.0
2013-01-18,1.1125,1.116,1.1091,1.1111,,1302.0,2204.0
2013-01-17,1.1299,1.1352,1.1097,1.111,,1250.0,1568.0
2013-01-16,1.1263,1.1395,1.1258,1.1304,,1220.0,1414.0
2013-01-15,1.1175,1.1331,1.1162,1.1266,,1200.0,889.0
2013-01-14,1.1184,1.1231,1.116,1.1193,,1139.0,1427.0
2013-01-11,1.1251,1.1275,1.1186,1.1219,,1223.0,1167.0
2013-01-10,1.137,1.1373,1.1268,1.1346,,1171.0,819.0
2013-01-09,1.1518,1.1522,1.1367,1.1401,,1180.0,1249.0
2013-01-08,1.1432,1.1514,1.1394,1.1474,,1232.0,711.0
2013-01-07,1.1339,1.1419,1.1329,1.1391,,1240.0,1483.0
2013-01-04,1.145,1.145,1.1318,1.1352,,1139.0,671.0
2013-01-03,1.146,1.153,1.1453,1.1478,,1131.0,517.0
2013-01-02,1.1498,1.1508,1.1452,1.1485,,1090.0,670.0
2012-12-31,1.165,1.1666,1.1527,1.155,,1046.0,873.0
2012-12-28,1.1599,1.1655,1.1548,1.1625,,989.0,1062.0
2012-12-27,1.1704,1.1705,1.1613,1.1632,,857.0,842.0
2012-12-26,1.1747,1.1747,1.1674,1.1688,,797.0,374.0
2012-12-24,1.1862,1.1868,1.179,1.1804,,767.0,935.0
2012-12-21,1.1864,1.1934,1.1851,1.1882,,762.0,827.0
