Date,Open,High,Low,Close,Volume,Prev Day OI,Prev Day Volume
2012-03-19,1.204,1.2043,1.197,1.1975,,394.0,157.0
2012-03-16,1.197,1.202,1.1914,1.1995,,521.0,380.0
2012-03-15,1.1934,1.2021,1.1882,1.1992,,653.0,309.0
2012-03-14,1.2059,1.2061,1.193,1.1947,,698.0,448.0
2012-03-13,1.2152,1.2198,1.2035,1.2065,,715.0,336.0
2012-03-12,1.213,1.2178,1.2113,1.2156,,766.0,481.0
2012-03-09,1.226,1.2275,1.2102,1.2115,,766.0,408.0
2012-03-08,1.2324,1.2331,1.2237,1.2252,,757.0,693.0
2012-03-07,1.2403,1.2408,1.2314,1.2314,,870.0,642.0
2012-03-06,1.2262,1.2409,1.2261,1.2384,,958.0,345.0
2012-03-05,1.222,1.2322,1.222,1.2279,,939.0,508.0
2012-03-02,1.2328,1.2328,1.2216,1.2225,,864.0,679.0
2012-03-01,1.2306,1.2371,1.2292,1.2334,,958.0,674.0
2012-02-29,1.2427,1.2461,1.2302,1.2321,,1102.0,590.0
2012-02-28,1.2423,1.2498,1.2381,1.2417,,1252.0,541.0
2012-02-27,1.2279,1.248,1.226,1.243,,1248.0,467.0
2012-02-24,1.2491,1.2511,1.2318,1.2351,,1271.0,333.0
2012-02-23,1.2453,1.2524,1.2449,1.2489,,1275.0,560.0
2012-02-22,1.2532,1.2532,1.2438,1.2468,,1390.0,496.0
2012-02-21,1.2545,1.2602,1.2522,1.255,,1363.0,394.0
2012-02-17,1.2688,1.2692,1.2564,1.2589,,1408.0,380.0
2012-02-16,1.2762,1.2763,1.2667,1.2675,,1367.0,275.0
2012-02-15,1.2755,1.2793,1.2715,1.2745,,1377.0,322.0
2012-02-14,1.292,1.2926,1.2736,1.2746,,1364.0,168.0
2012-02-13,1.288,1.2923,1.2861,1.2886,,1341.0,298.0
2012-02-10,1.288,1.2902,1.2854,1.2892,,1363.0,345.0
2012-02-09,1.2984,1.2984,1.2868,1.2881,,1373.0,236.0
2012-02-08,1.3024,1.3039,1.2958,1.2988,,1344.0,170.0
2012-02-07,1.3067,1.3071,1.2997,1.3034,,1364.0,212.0
2012-02-06,1.3066,1.3075,1.3026,1.3062,,1351.0,213.0
2012-02-03,1.3125,1.3138,1.3036,1.3064,,1347.0,158.0
2012-02-02,1.3128,1.3155,1.3124,1.3134,,1357.0,239.0
2012-02-01,1.3113,1.3159,1.3105,1.3126,,1325.0,212.0
2012-01-31,1.3098,1.3139,1.3094,1.3134,,1260.0,390.0
2012-01-30,1.3035,1.3128,1.3032,1.3114,,1180.0,396.0
2012-01-27,1.2913,1.3055,1.2912,1.3044,,1167.0,283.0
2012-01-26,1.287,1.2943,1.2857,1.2912,,1145.0,456.0
2012-01-25,1.2876,1.2898,1.2779,1.286,,1126.0,383.0
2012-01-24,1.2999,1.3,1.2848,1.2871,,1168.0,187.0
2012-01-23,1.3008,1.3016,1.2981,1.2994,,1111.0,201.0
2012-01-20,1.298,1.3008,1.2945,1.2998,,1078.0,337.0
2012-01-19,1.3029,1.3045,1.2941,1.2967,,1077.0,473.0
2012-01-18,1.303,1.3053,1.3018,1.3032,,948.0,420.0
