Date,Open,High,Low,Close,Volume,Prev Day OI,Prev Day Volume
2001-09-17,0.8535,0.8535,0.8535,0.8535,,10.0,3.0
2001-09-14,0.845,0.8543,0.8425,0.8543,,10.0,5.0
2001-09-13,0.839,0.8454,0.839,0.843,,14.0,0.0
2001-09-11,0.8317,0.8317,0.8317,0.8317,,14.0,2.0
2001-09-10,0.8304,0.8327,0.8275,0.8275,0.0,0.0,0.0
2001-09-07,0.8315,0.8331,0.8315,0.833,,10.0,1.0
2001-09-06,0.8216,0.8269,0.8216,0.8269,,11.0,1.0
2001-09-05,0.8299,0.8299,0.8292,0.8292,,11.0,1.0
2001-09-04,0.842,0.842,0.8381,0.8381,,11.0,4.0
2001-08-31,0.841,0.8432,0.838,0.8432,,13.0,1.0
2001-08-30,0.8375,0.8393,0.8375,0.8393,,14.0,1.0
2001-08-29,0.837,0.837,0.8339,0.8339,,13.0,0.0
2001-08-28,0.8341,0.8341,0.8313,0.8341,,15.0,0.0
2001-08-27,0.8356,0.8356,0.834,0.8356,,13.0,2.0
2001-08-24,0.834,0.8343,0.834,0.8341,,13.0,3.0
2001-08-23,0.835,0.837,0.832,0.837,,14.0,4.0
2001-08-22,0.8372,0.8372,0.8323,0.8323,,15.0,3.0
2001-08-21,0.8407,0.8407,0.8345,0.8372,,14.0,2.0
2001-08-20,0.8372,0.8372,0.8306,0.8306,,13.0,0.0
2001-08-17,0.8339,0.8339,0.8339,0.8339,,13.0,2.0
2001-08-16,0.8352,0.8367,0.8352,0.8367,,12.0,11.0
2001-08-15,0.8181,0.8409,0.8181,0.8387,0.0,0.0,0.0
2001-08-14,0.8185,0.827,0.8185,0.8248,,13.0,7.0
2001-08-13,0.8181,0.8277,0.8161,0.8194,,12.0,1.0
2001-08-10,0.82,0.8225,0.82,0.8225,,13.0,6.0
2001-08-09,0.8124,0.8255,0.8124,0.8239,,12.0,2.0
2001-08-08,0.8148,0.8171,0.8136,0.8136,,12.0,1.0
2001-08-07,0.8125,0.8131,0.81,0.8131,,12.0,0.0
2001-08-06,0.8107,0.8107,0.8107,0.8107,,12.0,0.0
2001-08-03,0.812,0.8135,0.812,0.812,,12.0,0.0
2001-08-02,0.8115,0.8123,0.8115,0.8115,,12.0,0.0
2001-08-01,0.806,0.806,0.806,0.806,,12.0,0.0
2001-07-31,0.8032,0.8032,0.8032,0.8032,,12.0,0.0
2001-07-30,0.803,0.803,0.803,0.803,,12.0,2.0
2001-07-27,0.8126,0.8144,0.8117,0.813,,13.0,3.0
2001-07-26,0.8137,0.8154,0.8111,0.8124,,11.0,2.0
2001-07-25,0.8123,0.8138,0.8111,0.8132,,11.0,1.0
2001-07-24,0.8106,0.8116,0.8106,0.8116,,11.0,3.0
2001-07-23,0.817,0.817,0.8081,0.8082,,15.0,4.0
2001-07-20,0.8111,0.8189,0.8111,0.8189,,13.0,2.0
2001-07-19,0.8111,0.8185,0.8111,0.8152,,13.0,4.0
2001-07-18,0.806,0.8117,0.806,0.8117,,13.0,0.0
2001-07-17,0.8044,0.806,0.8044,0.8044,,13.0,2.0
2001-07-16,0.7999,0.804,0.7999,0.8023,,14.0,2.0
2001-07-13,0.8153,0.8153,0.8056,0.8059,,13.0,0.0
2001-07-12,0.8132,0.814,0.8132,0.8132,,13.0,21.0
2001-07-11,0.8033,0.8132,0.8011,0.8097,,9.0,3.0
2001-07-10,0.8022,0.8052,0.8017,0.8033,,10.0,2.0
2001-07-09,0.801,0.803,0.801,0.803,,9.0,0.0
2001-07-06,0.7993,0.7993,0.7993,0.7993,,9.0,1.0
2001-07-05,0.801,0.801,0.801,0.801,,10.0,1.0
2001-07-03,0.8105,0.8126,0.8101,0.8101,0.0,0.0,0.0
2001-07-02,0.8101,0.8101,0.8101,0.8101,,12.0,0.0
2001-06-29,0.8079,0.81,0.8079,0.8079,,10.0,2.0
2001-06-28,0.807,0.809,0.807,0.8083,,9.0,0.0
2001-06-27,0.8113,0.8113,0.8113,0.8113,,9.0,1.0
2001-06-26,0.8144,0.8148,0.8144,0.8148,,11.0,5.0
2001-06-25,0.8106,0.8177,0.8054,0.8143,,9.0,0.0
2001-06-22,0.8107,0.8117,0.8107,0.8107,,9.0,6.0
2001-06-21,0.812,0.813,0.8107,0.8107,,8.0,1.0
2001-06-20,0.82,0.82,0.8156,0.8156,,8.0,1.0
2001-06-19,0.82,0.8201,0.8197,0.8197,,8.0,1.0
2001-06-18,0.818,0.8181,0.818,0.8181,,7.0,5.0
2001-06-15,0.8267,0.8267,0.8192,0.82,,5.0,2.0
2001-06-14,0.8319,0.8319,0.8319,0.8319,,5.0,0.0
2001-06-13,0.8274,0.8274,0.8274,0.8274,,6.0,2.0
2001-06-12,0.8286,0.8305,0.8286,0.8291,,4.0,1.0
2001-06-11,0.8293,0.8293,0.8286,0.8286,,5.0,2.0
2001-06-08,0.837,0.837,0.8352,0.8352,,3.0,0.0
2001-06-07,0.842,0.842,0.842,0.842,,3.0,0.0
2001-06-06,0.8399,0.8399,0.8399,0.8399,,3.0,1.0
2001-06-05,0.8403,0.8403,0.8403,0.8403,,3.0,0.0
2001-06-04,0.8475,0.8475,0.8475,0.8475,,3.0,1.0
2001-06-01,0.8492,0.8492,0.8492,0.8492,,2.0,0.0
2001-05-31,0.8488,0.8488,0.8488,0.8488,,2.0,0.0
2001-05-30,0.8409,0.8409,0.8409,0.8409,,2.0,1.0
2001-05-29,0.8428,0.8432,0.8427,0.8427,,1.0,1.0
2001-05-25,0.8435,0.8435,0.8393,0.8393,0.0,0.0,0.0
2001-05-24,0.8435,0.8435,0.8435,0.8435,0.0,0.0,0.0
2001-05-23,0.8455,0.8455,0.8455,0.8455,0.0,0.0,0.0
2001-05-22,0.8256,0.8256,0.8256,0.8256,0.0,0.0,0.0
2001-05-21,0.8265,0.8265,0.8265,0.8265,0.0,0.0,0.0
2001-05-18,0.8193,0.8193,0.8193,0.8193,0.0,0.0,0.0
2001-05-17,0.8267,0.8267,0.8267,0.8267,0.0,0.0,0.0
2001-05-16,0.8205,0.8205,0.8205,0.8205,0.0,0.0,0.0
2001-05-15,0.8209,0.8209,0.8209,0.8209,0.0,0.0,0.0
2001-05-14,0.8223,0.8223,0.8223,0.8223,0.0,0.0,0.0
2001-05-11,0.827,0.827,0.827,0.827,0.0,0.0,0.0
2001-05-10,0.827,0.827,0.827,0.827,0.0,0.0,0.0
2001-05-09,0.8298,0.8298,0.8298,0.8298,0.0,0.0,0.0
2001-05-08,0.8363,0.8363,0.8363,0.8363,0.0,0.0,0.0
2001-05-07,0.8372,0.8372,0.8372,0.8372,0.0,0.0,0.0
2001-05-04,0.8372,0.8372,0.8372,0.8372,0.0,0.0,0.0
2001-05-03,0.8358,0.8358,0.8358,0.8358,0.0,0.0,0.0
2001-05-02,0.8338,0.8338,0.8338,0.8338,0.0,0.0,0.0
2001-05-01,0.8316,0.8316,0.8316,0.8316,0.0,0.0,0.0
2001-04-30,0.8216,0.8216,0.8216,0.8216,0.0,0.0,0.0
2001-04-27,0.8194,0.8194,0.8194,0.8194,0.0,0.0,0.0
2001-04-26,0.8252,0.8252,0.8252,0.8252,0.0,0.0,0.0
2001-04-25,0.832,0.832,0.832,0.832,0.0,0.0,0.0
2001-04-24,0.8325,0.8325,0.8325,0.8325,0.0,0.0,0.0
2001-04-23,0.8392,0.8392,0.8305,0.8392,0.0,0.0,0.0
