Date,Open,High,Low,Close,Volume,Prev Day OI,Prev Day Volume
2010-06-14,1.0906,1.093,1.0858,1.0878,,172.0,103.0
2010-06-11,1.0941,1.0956,1.0897,1.092,,386.0,150.0
2010-06-10,1.0952,1.1005,1.0933,1.0961,,400.0,472.0
2010-06-09,1.0944,1.0981,1.091,1.0975,,475.0,340.0
2010-06-08,1.0924,1.1008,1.088,1.0953,,472.0,663.0
2010-06-07,1.0912,1.0992,1.0861,1.0905,,595.0,320.0
2010-06-04,1.0799,1.094,1.0768,1.0938,,603.0,176.0
2010-06-03,1.085,1.0865,1.0777,1.079,,629.0,435.0
2010-06-02,1.0983,1.0987,1.083,1.0849,,703.0,1045.0
2010-06-01,1.0997,1.1045,1.0918,1.0963,,604.0,1254.0
2010-05-28,1.1003,1.1039,1.0942,1.1017,,468.0,291.0
2010-05-27,1.1119,1.1125,1.098,1.1011,,462.0,348.0
2010-05-26,1.107,1.1135,1.1032,1.1108,,393.0,449.0
2010-05-25,1.1081,1.1206,1.1078,1.1099,,382.0,316.0
2010-05-24,1.1108,1.1145,1.1041,1.1057,,424.0,625.0
2010-05-21,1.1192,1.1209,1.1058,1.1141,,391.0,480.0
2010-05-20,1.091,1.1243,1.0889,1.1106,,401.0,435.0
2010-05-19,1.0865,1.0995,1.0855,1.0925,,418.0,187.0
2010-05-18,1.0819,1.0861,1.0761,1.084,,442.0,205.0
2010-05-17,1.0832,1.09,1.0793,1.0811,,444.0,182.0
2010-05-14,1.0789,1.0894,1.0744,1.0848,,439.0,152.0
2010-05-13,1.0733,1.0801,1.0682,1.0774,,437.0,128.0
2010-05-12,1.0806,1.0818,1.0724,1.0732,,442.0,147.0
2010-05-11,1.0725,1.0846,1.0715,1.0781,,450.0,275.0
2010-05-10,1.0866,1.0898,1.0696,1.0738,,472.0,584.0
2010-05-07,1.1036,1.1047,1.0745,1.0941,,732.0,989.0
2010-05-06,1.065,1.1347,1.0646,1.1249,,744.0,218.0
2010-05-05,1.0562,1.0695,1.0533,1.068,,773.0,203.0
2010-05-04,1.0562,1.0605,1.0534,1.0597,,746.0,164.0
2010-05-03,1.0641,1.0661,1.0554,1.0576,,730.0,302.0
2010-04-30,1.0628,1.0656,1.057,1.0651,,730.0,111.0
2010-04-29,1.0647,1.0658,1.0614,1.064,,713.0,285.0
2010-04-28,1.0742,1.0756,1.0604,1.0609,,683.0,338.0
2010-04-27,1.0642,1.0778,1.0641,1.0744,,669.0,140.0
2010-04-26,1.0623,1.0649,1.0603,1.0632,,666.0,212.0
2010-04-23,1.0705,1.0719,1.0604,1.0639,,670.0,239.0
