Date,Open,High,Low,Close,Volume,Prev Day OI,Prev Day Volume
2009-06-15,1.0217,1.0221,1.0193,1.0212,,52.0,19.0
2009-06-12,1.023,1.0233,1.0162,1.0181,,142.0,90.0
2009-06-11,1.0184,1.0279,1.0128,1.0253,,161.0,38.0
2009-06-10,1.027,1.0287,1.0159,1.0183,,173.0,46.0
2009-06-09,1.015,1.0281,1.0142,1.0264,,186.0,23.0
2009-06-08,1.0122,1.0178,1.0121,1.0165,,187.0,263.0
2009-06-05,1.0328,1.0351,1.0101,1.0167,,322.0,39.0
2009-06-04,1.04,1.0421,1.0313,1.0324,,320.0,49.0
2009-06-03,1.0446,1.0481,1.0377,1.0435,,324.0,56.0
2009-06-02,1.0363,1.0487,1.035,1.0456,,312.0,53.0
2009-06-01,1.0532,1.0576,1.0334,1.0363,,303.0,48.0
2009-05-29,1.0359,1.0519,1.032,1.0511,,312.0,68.0
2009-05-28,1.0481,1.0484,1.0287,1.0322,,315.0,33.0
2009-05-27,1.0505,1.0561,1.0478,1.0506,,322.0,42.0
2009-05-26,1.0554,1.0576,1.0505,1.053,,328.0,40.0
2009-05-22,1.0604,1.0651,1.054,1.0593,,325.0,83.0
2009-05-21,1.0558,1.0642,1.0501,1.0615,,333.0,69.0
2009-05-20,1.0408,1.0561,1.0408,1.0536,,344.0,43.0
2009-05-19,1.0382,1.0427,1.0351,1.0404,,347.0,102.0
2009-05-18,1.0515,1.058,1.0372,1.0375,,363.0,71.0
2009-05-15,1.044,1.0559,1.0419,1.0522,,360.0,225.0
2009-05-14,1.0495,1.0512,1.0436,1.0452,,215.0,94.0
2009-05-13,1.0372,1.0515,1.0346,1.0475,,178.0,76.0
2009-05-12,1.027,1.0408,1.024,1.0378,,175.0,54.0
2009-05-11,1.0185,1.0284,1.014,1.0268,,170.0,26.0
2009-05-08,1.0064,1.017,1.0055,1.0168,,178.0,66.0
2009-05-07,1.014,1.016,1.0028,1.0104,,167.0,31.0
2009-05-06,1.0112,1.0212,1.0098,1.0176,,166.0,30.0
2009-05-05,1.012,1.0145,1.0091,1.0106,,160.0,28.0
2009-05-04,1.005,1.0132,1.005,1.0114,,155.0,47.0
2009-05-01,1.013,1.0138,1.005,1.0069,,692.0,452.0
2009-04-30,1.025,1.03,1.011,1.0137,,467.0,390.0
2009-04-29,1.032,1.036,1.0219,1.0247,,167.0,41.0
2009-04-28,1.038,1.0465,1.0346,1.0378,,173.0,39.0
2009-04-27,1.0314,1.0375,1.0314,1.0346,,168.0,57.0
2009-04-24,1.025,1.0338,1.0222,1.0312,,164.0,30.0
2009-04-23,1.0237,1.0244,1.0169,1.0226,,161.0,63.0
2009-04-22,1.0204,1.0252,1.0169,1.0197,,213.0,133.0
2009-04-21,1.0219,1.0232,1.0118,1.0137,,263.0,361.0
2009-04-20,1.0091,1.0247,1.0087,1.0232,,556.0,429.0
2009-04-17,1.007,1.0142,1.0023,1.0088,,550.0,150.0
2009-04-16,1.008,1.0152,1.0064,1.0076,,443.0,322.0
2009-04-15,1.011,1.0194,1.0044,1.0089,,181.0,65.0
2009-04-14,1.002,1.0137,0.996,1.0128,,178.0,34.0
2009-04-13,0.9972,1.0021,0.9948,1.0001,,173.0,32.0
2009-04-09,1.0043,1.0044,0.9954,0.9964,,169.0,73.0
2009-04-08,0.99,1.0079,0.988,1.0039,,181.0,77.0
2009-04-07,0.992,1.0021,0.992,0.9965,,172.0,62.0
2009-04-06,0.9966,0.9981,0.9858,0.9917,,173.0,76.0
2009-04-03,1.0045,1.0065,0.9969,0.9985,,158.0,95.0
2009-04-02,1.0144,1.0178,1.0025,1.0047,,147.0,53.0
2009-04-01,1.0119,1.0174,1.0074,1.0145,,138.0,62.0
2009-03-31,1.0219,1.0224,1.0078,1.0104,,130.0,53.0
2009-03-30,1.0217,1.0424,1.0194,1.0313,,125.0,83.0
2009-03-27,1.015,1.0307,1.0123,1.0212,,134.0,84.0
2009-03-26,1.0263,1.0263,1.0128,1.0163,,133.0,36.0
2009-03-25,1.0205,1.0326,1.0201,1.029,,131.0,58.0
2009-03-24,1.0296,1.0313,1.0177,1.0236,,126.0,29.0
2009-03-23,1.0477,1.0477,1.029,1.0334,,127.0,62.0
2009-03-20,1.0589,1.0624,1.0381,1.0433,,121.0,77.0
2009-03-19,1.0393,1.0707,1.0373,1.0593,,137.0,142.0
2009-03-18,1.0185,1.0459,1.0148,1.0396,,138.0,38.0
2009-03-17,1.0202,1.0206,1.0119,1.0169,,133.0,36.0
2009-03-16,1.0173,1.0229,1.0153,1.0195,,125.0,75.0
2009-03-13,1.03,1.0302,1.0157,1.022,,133.0,252.0
2009-03-12,1.0253,1.0468,1.018,1.022,,115.0,102.0
2009-03-11,1.0194,1.0343,1.0163,1.0303,,65.0,26.0
2009-03-10,1.016,1.023,1.0116,1.0134,,59.0,39.0
2009-03-09,1.0223,1.0231,1.01,1.0146,,33.0,12.0
2009-03-06,1.0192,1.0367,1.0178,1.0235,,30.0,11.0
2009-03-05,1.0096,1.025,1.0061,1.0198,,26.0,1.0
2009-03-04,1.016,1.0204,1.0084,1.0102,,34.0,2.0
2009-03-03,1.021,1.0298,1.0172,1.0191,,14.0,2.0
2009-03-02,1.0295,1.0324,1.0253,1.0253,,16.0,3.0
2009-02-27,1.0243,1.0342,1.0219,1.0242,,17.0,2.0
2009-02-26,1.0196,1.0196,1.0162,1.0187,,19.0,7.0
2009-02-25,1.034,1.0391,1.0248,1.0258,,13.0,8.0
2009-02-24,1.0407,1.06,1.0345,1.035,,8.0,0.0
2009-02-23,1.0596,1.0775,1.0573,1.0596,,8.0,2.0
2009-02-20,1.064,1.0824,1.0629,1.0754,,7.0,1.0
2009-02-19,1.0692,1.0718,1.0619,1.0621,,7.0,1.0
2009-02-18,1.066,1.0857,1.066,1.0701,,7.0,2.0
2009-02-17,1.085,1.0941,1.083,1.085,,6.0,1.0
2009-02-13,1.094,1.094,1.0924,1.0924,,6.0,1.0
2009-02-12,1.1125,1.1149,1.104,1.1083,,6.0,0.0
2009-02-11,1.1081,1.1161,1.1058,1.1081,,6.0,0.0
2009-02-10,1.1121,1.1121,1.0987,1.1121,,6.0,2.0
2009-02-09,1.0945,1.1003,1.0938,1.0969,,5.0,0.0
2009-02-06,1.0887,1.1025,1.0887,1.0887,,5.0,0.0
2009-02-05,1.0971,1.1241,1.0898,1.0971,,5.0,0.0
2009-02-04,1.1201,1.1278,1.1188,1.1201,,5.0,0.0
2009-02-03,1.1247,1.1319,1.1174,1.1247,,5.0,0.0
2009-02-02,1.1212,1.1265,1.1171,1.1212,,5.0,0.0
2009-01-30,1.1167,1.1211,1.1146,1.1167,,5.0,0.0
2009-01-29,1.1166,1.1199,1.112,1.1166,,5.0,1.0
2009-01-28,1.1158,1.1158,1.108,1.108,,4.0,0.0
2009-01-27,1.1282,1.1333,1.1212,1.1282,,4.0,0.0
2009-01-26,1.1277,1.1286,1.1216,1.1277,,4.0,0.0
2009-01-23,1.1299,1.1389,1.1206,1.1299,,4.0,0.0
2009-01-22,1.1262,1.1352,1.1262,1.1262,,4.0,0.0
2009-01-21,1.1251,1.1503,1.1136,1.1251,,4.0,4.0
2009-01-20,1.1131,1.116,1.1021,1.116,0.0,0.0,0.0
2009-01-16,1.1094,1.1129,1.1062,1.1094,0.0,0.0,0.0
