Date,Open,High,Low,Close,Volume,Prev Day OI,Prev Day Volume
1998-03-20,1091.25,1091.25,1088.75,1090.0,0.0,0.0,0.0
1998-03-19,1088.5,1092.0,1083.75,1092.0,0.0,0.0,0.0
1998-03-18,1086.5,1086.5,1078.0,1085.75,0.0,0.0,0.0
1998-03-17,1079.5,1083.0,1074.25,1083.0,0.0,0.0,0.0
1998-03-16,1076.0,1081.0,1065.25,1079.75,0.0,0.0,0.0
1998-03-13,1072.25,1080.0,1067.0,1069.75,0.0,0.0,0.0
1998-03-12,1071.75,1073.5,1063.5,1073.25,0.0,0.0,0.0
1998-03-11,1068.5,1071.0,1064.25,1068.75,0.0,0.0,0.0
1998-03-10,1065.0,1067.25,1053.25,1065.25,0.0,0.0,0.0
1998-03-09,1054.0,1061.5,1051.0,1054.25,0.0,0.0,0.0
1998-03-06,1038.5,1058.0,1034.5,1057.5,0.0,0.0,0.0
1998-03-05,1038.25,1044.0,1032.0,1038.75,0.0,0.0,0.0
1998-03-04,1045.75,1055.5,1039.75,1048.0,0.0,0.0,0.0
1998-03-03,1055.25,1056.5,1044.75,1055.5,0.0,0.0,0.0
1998-03-02,1049.5,1057.0,1046.5,1049.5,0.0,0.0,0.0
1998-02-27,1050.5,1055.0,1046.0,1050.5,0.0,0.0,0.0
1998-02-26,1049.25,1052.5,1042.0,1051.75,0.0,0.0,0.0
1998-02-25,1045.5,1049.5,1033.0,1045.5,0.0,0.0,0.0
1998-02-24,1033.25,1041.5,1030.25,1033.75,0.0,0.0,0.0
1998-02-23,1041.5,1045.75,1033.75,1041.25,0.0,0.0,0.0
1998-02-20,1030.25,1038.0,1024.75,1037.25,0.0,0.0,0.0
1998-02-19,1030.25,1038.0,1028.75,1030.5,0.0,0.0,0.0
1998-02-18,1027.75,1036.25,1024.25,1036.0,0.0,0.0,0.0
1998-02-17,1027.5,1033.5,1017.5,1028.0,0.0,0.0,0.0
1998-02-13,1026.25,1028.25,1020.75,1022.5,0.0,0.0,0.0
1998-02-12,1026.75,1031.5,1011.25,1026.75,0.0,0.0,0.0
1998-02-11,1023.5,1026.5,1019.5,1024.0,0.0,0.0,0.0
1998-02-10,1014.75,1027.75,1012.5,1024.25,0.0,0.0,0.0
1998-02-09,1019.0,1022.0,1010.25,1015.0,0.0,0.0,0.0
1998-02-06,1009.0,1019.25,1008.0,1019.25,0.0,0.0,0.0
1998-02-05,1009.0,1019.25,1004.0,1009.5,0.0,0.0,0.0
1998-02-04,1009.25,1014.75,1002.75,1009.5,0.0,0.0,0.0
1998-02-03,1011.0,1011.75,1001.25,1011.0,0.0,0.0,0.0
1998-02-02,1002.75,1004.5,1002.75,1004.25,0.0,0.0,0.0
1998-01-30,987.75,993.5,984.0,988.25,0.0,0.0,0.0
1998-01-29,987.5,999.0,979.75,987.0,0.0,0.0,0.0
1998-01-28,982.0,985.0,973.0,982.0,0.0,0.0,0.0
1998-01-27,974.0,979.75,960.75,973.75,0.0,0.0,0.0
1998-01-26,963.5,969.75,953.5,963.5,0.0,0.0,0.0
1998-01-23,966.0,972.5,955.0,964.5,0.0,0.0,0.0
1998-01-22,966.0,976.25,964.25,966.25,0.0,0.0,0.0
1998-01-21,978.0,985.25,967.5,975.5,0.0,0.0,0.0
1998-01-20,984.5,986.0,968.5,985.25,0.0,0.0,0.0
1998-01-19,969.0,972.5,966.75,972.25,0.0,0.0,0.0
1998-01-16,955.0,972.75,952.5,968.5,0.0,0.0,0.0
1998-01-15,955.0,964.0,953.5,954.0,0.0,0.0,0.0
1998-01-14,963.5,966.25,953.75,963.5,0.0,0.0,0.0
1998-01-13,961.0,961.5,944.5,961.5,0.0,0.0,0.0
1998-01-12,945.5,948.25,914.5,946.25,0.0,0.0,0.0
1998-01-09,961.0,963.0,925.5,930.5,0.0,0.0,0.0
1998-01-08,962.0,977.25,960.0,961.25,0.0,0.0,0.0
1998-01-07,973.75,974.75,960.5,973.75,0.0,0.0,0.0
1998-01-06,970.75,987.5,970.0,970.25,0.0,0.0,0.0
1998-01-05,987.0,992.75,976.5,987.5,0.0,0.0,0.0
1998-01-02,979.25,984.75,972.5,984.75,0.0,0.0,0.0
1997-12-31,979.75,984.0,975.25,979.0,0.0,0.0,0.0
1997-12-30,979.5,980.5,965.5,979.75,0.0,0.0,0.0
1997-12-29,966.5,967.0,941.25,966.5,0.0,0.0,0.0
1997-12-26,944.0,949.5,943.0,946.0,0.0,0.0,0.0
1997-12-24,944.25,953.5,941.5,942.75,0.0,0.0,0.0
1997-12-23,945.0,965.0,943.0,944.5,0.0,0.0,0.0
1997-12-22,962.75,968.25,948.25,962.75,0.0,0.0,0.0
1997-12-19,964.0,964.5,935.0,957.75,0.0,0.0,0.0
1997-12-18,964.0,976.5,960.5,964.25,0.0,0.0,0.0
1997-12-17,975.0,988.0,974.5,975.5,0.0,0.0,0.0
1997-12-16,980.5,985.75,973.25,980.5,0.0,0.0,0.0
1997-12-15,973.5,978.5,960.5,974.25,0.0,0.0,0.0
1997-12-12,963.25,974.5,957.75,966.75,0.0,0.0,0.0
1997-12-11,964.5,981.25,962.0,963.25,0.0,0.0,0.0
1997-12-10,990.0,990.5,974.0,981.0,0.0,0.0,0.0
1997-12-09,996.0,996.75,985.5,990.75,0.0,0.0,0.0
1997-12-08,996.0,996.0,995.5,995.5,0.0,0.0,0.0
1997-12-05,989.5,1000.0,973.0,998.25,0.0,0.0,0.0
1997-12-04,989.0,996.0,983.0,988.25,0.0,0.0,0.0
1997-12-03,983.0,995.0,979.0,990.5,0.0,0.0,0.0
1997-12-02,989.5,990.0,983.25,986.0,0.0,0.0,0.0
1997-12-01,987.0,991.25,967.25,991.25,0.0,0.0,0.0
1997-11-28,964.5,972.5,964.5,965.25,0.0,0.0,0.0
1997-11-27,965.5,965.5,965.5,965.5,0.0,0.0,0.0
1997-11-26,963.0,969.75,960.75,965.5,0.0,0.0,0.0
1997-11-25,957.0,968.0,956.5,962.0,0.0,0.0,0.0
1997-11-24,976.25,976.25,956.5,961.5,0.0,0.0,0.0
1997-11-21,974.0,980.75,966.75,977.75,0.0,0.0,0.0
1997-11-20,963.5,975.75,958.0,974.75,0.0,0.0,0.0
1997-11-19,952.0,960.0,946.75,958.5,0.0,0.0,0.0
1997-11-18,960.25,964.25,951.25,951.25,0.0,0.0,0.0
1997-11-17,944.0,965.0,942.75,960.5,0.0,0.0,0.0
1997-11-14,933.0,944.5,928.75,943.0,0.0,0.0,0.0
1997-11-13,916.75,932.0,914.0,931.25,0.0,0.0,0.0
1997-11-12,929.5,935.0,912.5,916.75,0.0,0.0,0.0
1997-11-11,940.0,942.75,934.75,936.5,0.0,0.0,0.0
1997-11-10,948.0,948.5,934.5,936.0,0.0,0.0,0.0
1997-11-07,953.0,953.0,923.0,941.0,0.0,0.0,0.0
1997-11-06,952.5,956.0,947.5,952.25,0.0,0.0,0.0
1997-11-05,951.25,963.5,949.0,957.0,0.0,0.0,0.0
1997-11-04,952.0,956.5,929.25,952.0,0.0,0.0,0.0
1997-11-03,956.5,961.0,929.25,955.0,0.0,0.0,0.0
1997-10-31,897.5,934.0,897.5,934.0,0.0,0.0,0.0
1997-10-30,934.25,939.5,904.0,914.25,0.0,0.0,0.0
1997-10-29,945.0,951.75,926.5,930.0,0.0,0.0,0.0
1997-10-28,869.5,943.25,854.5,939.0,0.0,0.0,0.0
1997-10-27,952.0,952.0,884.5,884.5,0.0,0.0,0.0
1997-10-24,964.0,979.0,953.75,960.0,0.0,0.0,0.0
1997-10-23,970.25,970.75,958.25,964.0,0.0,0.0,0.0
1997-10-22,989.5,989.5,982.25,989.5,0.0,0.0,0.0
