Date,Open,High,Low,Close,Volume,Prev Day OI,Prev Day Volume
2008-09-15,0.9379,0.9485,0.9372,0.9451,,104.0,40.0
2008-09-12,0.9355,0.9367,0.9262,0.9274,,142.0,72.0
2008-09-11,0.9311,0.9427,0.9275,0.9373,,140.0,177.0
2008-09-10,0.9337,0.9382,0.9268,0.9283,,129.0,131.0
2008-09-09,0.9256,0.9373,0.9244,0.9347,,130.0,178.0
2008-09-08,0.9338,0.9338,0.9172,0.9262,,154.0,244.0
2008-09-05,0.942,0.9463,0.9295,0.9338,,233.0,305.0
2008-09-04,0.9241,0.9352,0.9216,0.935,,222.0,140.0
2008-09-03,0.9212,0.9256,0.9174,0.9248,,240.0,182.0
2008-09-02,0.923,0.9296,0.9166,0.9212,,229.0,148.0
2008-08-29,0.914,0.9233,0.9134,0.9202,,196.0,118.0
2008-08-28,0.9142,0.9199,0.9122,0.9134,,213.0,140.0
2008-08-27,0.9135,0.9208,0.911,0.913,,187.0,139.0
2008-08-26,0.9147,0.9171,0.9107,0.9132,,202.0,97.0
2008-08-25,0.9087,0.9183,0.9055,0.9161,,243.0,89.0
2008-08-22,0.9232,0.9232,0.9091,0.9102,,223.0,150.0
2008-08-21,0.9127,0.9257,0.9118,0.9218,,217.0,97.0
2008-08-20,0.9128,0.9135,0.9083,0.9119,,255.0,121.0
2008-08-19,0.9099,0.9142,0.9078,0.912,,225.0,49.0
2008-08-18,0.905,0.9108,0.905,0.909,,214.0,216.0
2008-08-15,0.9122,0.9134,0.9052,0.9062,,240.0,43.0
2008-08-14,0.9147,0.9172,0.9109,0.9126,,240.0,97.0
2008-08-13,0.9175,0.9242,0.913,0.9147,,238.0,101.0
2008-08-12,0.9102,0.9168,0.9081,0.915,,261.0,103.0
2008-08-11,0.908,0.9145,0.9077,0.9108,,229.0,216.0
2008-08-08,0.9165,0.9165,0.9076,0.909,,233.0,73.0
2008-08-07,0.9152,0.9176,0.9134,0.9157,,209.0,121.0
2008-08-06,0.9257,0.9263,0.9113,0.9147,,227.0,102.0
2008-08-05,0.9265,0.9308,0.9243,0.9264,,232.0,90.0
2008-08-04,0.932,0.9328,0.9257,0.9257,,244.0,106.0
2008-08-01,0.9301,0.9343,0.9293,0.9309,,246.0,110.0
2008-07-31,0.9275,0.9317,0.9247,0.9292,,240.0,90.0
2008-07-30,0.9276,0.9309,0.9256,0.9272,,233.0,65.0
2008-07-29,0.9345,0.9345,0.9259,0.9276,,240.0,61.0
2008-07-28,0.9295,0.934,0.928,0.9329,,247.0,181.0
2008-07-25,0.9332,0.9408,0.9273,0.9293,,199.0,63.0
2008-07-24,0.9292,0.9355,0.929,0.9342,,199.0,158.0
2008-07-23,0.9353,0.9355,0.929,0.9294,,182.0,87.0
2008-07-22,0.9427,0.9457,0.9336,0.9356,,173.0,48.0
2008-07-21,0.938,0.943,0.9363,0.9398,,171.0,62.0
2008-07-18,0.944,0.9465,0.9377,0.9384,,171.0,123.0
2008-07-17,0.9537,0.9573,0.9368,0.9403,,148.0,81.0
2008-07-16,0.9572,0.9666,0.9541,0.9561,,174.0,221.0
2008-07-15,0.9458,0.9634,0.9445,0.9554,,179.0,75.0
2008-07-14,0.9418,0.9464,0.9401,0.9457,,169.0,125.0
2008-07-11,0.9375,0.9495,0.9355,0.9418,,174.0,68.0
2008-07-10,0.9395,0.9404,0.9344,0.9378,,171.0,57.0
2008-07-09,0.934,0.9408,0.9325,0.9397,,172.0,41.0
2008-07-08,0.9372,0.9447,0.9333,0.934,,160.0,67.0
2008-07-07,0.939,0.9405,0.9318,0.9385,,157.0,39.0
2008-07-03,0.9476,0.9491,0.9386,0.9409,,155.0,72.0
2008-07-02,0.9464,0.949,0.9405,0.9475,,135.0,90.0
2008-07-01,0.9456,0.9541,0.9441,0.9472,,126.0,111.0
2008-06-30,0.9443,0.9563,0.9433,0.9471,,129.0,91.0
2008-06-27,0.9411,0.9488,0.9368,0.9452,,141.0,86.0
2008-06-26,0.932,0.9421,0.9285,0.9417,,135.0,73.0
2008-06-25,0.9319,0.9329,0.9267,0.931,,152.0,71.0
2008-06-24,0.9305,0.9355,0.9284,0.9311,,145.0,43.0
2008-06-23,0.9355,0.9371,0.9307,0.9321,,145.0,76.0
2008-06-20,0.932,0.9381,0.9302,0.9377,,150.0,73.0
2008-06-19,0.9318,0.9351,0.9302,0.9306,,132.0,59.0
2008-06-18,0.9313,0.9327,0.927,0.9317,,126.0,70.0
2008-06-17,0.929,0.9343,0.9278,0.9307,,123.0,43.0
2008-06-16,0.928,0.9314,0.926,0.9297,,120.0,17.0
2008-06-13,0.931,0.9329,0.9265,0.9292,,117.0,17.0
2008-06-12,0.9326,0.9437,0.93,0.9314,,113.0,90.0
2008-06-11,0.937,0.9426,0.9336,0.94,,48.0,26.0
2008-06-10,0.942,0.9441,0.936,0.9361,,55.0,37.0
2008-06-09,0.9595,0.961,0.945,0.9475,,21.0,7.0
2008-06-06,0.9495,0.9585,0.9479,0.9568,,23.0,11.0
2008-06-05,0.9497,0.9527,0.946,0.9515,,18.0,1.0
2008-06-04,0.9609,0.9611,0.9556,0.9571,,18.0,7.0
2008-06-03,0.9618,0.9638,0.9532,0.9587,,18.0,9.0
2008-06-02,0.9536,0.966,0.9535,0.9632,,15.0,4.0
2008-05-30,0.9517,0.9553,0.9517,0.9538,,15.0,12.0
